Algorithm,Environment,Run,Agent Score Mean,Agent Score Std,Adversary Score Mean,Adversary Score Std,adversary_at_goal_frames Mean,adversary_at_goal_frames Std,adversary_reward Mean,adversary_reward Std,agent_reward Mean,agent_reward Std,agent_success Mean,agent_success Std,agent_wins Mean,agent_wins Std,bob_reward Mean,bob_reward Std,bob_success Mean,bob_success Std,eve_reward Mean,eve_reward Std,eve_success Mean,eve_success Std,num_catches Mean,num_catches Std,num_collisions Mean,num_collisions Std,prey_survival_rate Mean,prey_survival_rate Std,total_reward Mean,total_reward Std
a2c,simple_adversary_v3,1,14.878220350804673,13.43094443675374,-16.24432785310134,7.491464708832098,0.0,0.0,-16.24432785310134,7.491464708832098,14.878220350804673,13.43094443675374,0.981,0.13652472303579308,,,,,,,,,,,,,,,,,,
a2c,simple_crypto_v3,1,0.0,0.0,-23.95,24.97794026736392,,,,,,,,,,,0.0,0.0,0.0,0.0,-23.95,24.97794026736392,0.0,0.0,,,,,,,,
a2c,simple_push_v3,1,-8.638734501287086,5.200605865001056,-7.457715733429643,8.252908739527198,,,-7.457715733429643,8.252908739527198,-8.638734501287086,5.200605865001056,,,0.482,0.4996758949559204,,,,,,,,,,,,,,,,
a2c,simple_reference_v3,1,-125.87386171726322,23.235086231900556,,,,,,,,,,,,,,,,,,,,,,,,,,,-125.87386171726322,23.235086231900556
a2c,simple_speaker_listener_v4,1,-33.18612109949595,24.06476884895135,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.18612109949595,24.06476884895135
a2c,simple_spread_v3,1,-70.83731660358711,18.236687192306864,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
a2c,simple_tag_v3,1,-63.3481966819148,39.25348437973193,188.7,118.67227982979007,,,,,,,,,,,,,,,,,,,5.663,3.37600814572477,0.0,0.0,0.7734800000000001,0.1350403258289908,,
a2c,simple_v3,1,-7.340337641919093,7.718439138353226,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.340337641919093,7.718439138353226
a2c,simple_world_comm_v3,1,-54.012377558667616,21.77536591353029,205.7073278923264,88.61980182332212,31.964,11.790788947309673,205.7073278923264,88.61980182332212,-54.012377558667616,21.77536591353029,,,,,,,,,,,,,8.464,6.65076717379281,,,,,,
dqn,simple_adversary_v3,1,12.204310220439519,13.902512367782395,-17.054109747853968,7.305879014237129,0.0,0.0,-17.054109747853968,7.305879014237129,12.204310220439519,13.902512367782395,0.966,0.18122913673027305,,,,,,,,,,,,,,,,,,
